model,channels,params,inference_ms_per_window,checkpoint_path,seed,window_size,stride,split_mode,accuracy,macro_f1,transition_precision,transition_recall,transition_f1,loss,train_size,val_size,test_size,best_val_accuracy,best_val_macro_f1,best_val_transition_precision,best_val_transition_recall,best_val_transition_f1,best_val_loss
transformer,gyro,83842,0.0037415040787891485,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed137/transformer_gyro/best.pt,137,128,64,random,0.9914634146341463,0.9540064102564103,0.8902439024390244,0.9358974358974359,0.9125,0.11614446142949618,7650,1639,1640,0.9932885906040269,0.9613294982422499,0.9583333333333334,0.8961038961038961,0.9261744966442953,0.24622211612100742
transformer,acc_gyro,84034,0.0039014565845718607,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed137/transformer_acc_gyro/best.pt,137,128,64,random,0.9969512195121951,0.9834757042473485,0.9506172839506173,0.9871794871794872,0.9685534591194969,0.014826049295924149,7650,1639,1640,0.9951189749847468,0.9716950177014074,0.9859154929577465,0.9090909090909091,0.9459459459459459,0.18418591700396555
mamba3,acc,239378,0.010808761580847204,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed137/mamba3_acc/best.pt,137,128,64,random,0.9914634146341463,0.9523061711161519,0.9210526315789473,0.8974358974358975,0.9090909090909091,0.16641598643008165,7650,1639,1640,0.9908480780964003,0.9504255718148658,0.8780487804878049,0.935064935064935,0.9056603773584906,0.12328148608580641
mamba3,gyro,239378,0.01126478186051827,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed137/mamba3_gyro/best.pt,137,128,64,random,0.9957317073170732,0.976865985946288,0.9382716049382716,0.9743589743589743,0.9559748427672956,0.03449100950706563,7650,1639,1640,0.9957291031116534,0.976004183006536,0.9605263157894737,0.948051948051948,0.954248366013072,0.18620276156872712
mamba3,acc_gyro,239762,0.01095985859137727,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed137/mamba3_acc_gyro/best.pt,137,128,64,random,0.9981707317073171,0.9899655524758775,0.9746835443037974,0.9871794871794872,0.9808917197452229,0.020877407462245264,7650,1639,1640,0.9975594874923734,0.9865388721890964,0.9620253164556962,0.987012987012987,0.9743589743589743,0.036951429959596264
cnn,acc,75906,0.0019678423268487677,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed211/cnn_acc/best.pt,211,128,64,random,0.9878048780487805,0.937961036504634,0.8152173913043478,0.9615384615384616,0.8823529411764706,0.05006558002858627,7650,1639,1640,0.9951189749847468,0.9730777443781928,0.9367088607594937,0.961038961038961,0.9487179487179487,0.06131833755366318
cnn,gyro,75906,0.0019617612633737735,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed211/cnn_gyro/best.pt,211,128,64,random,0.9914634146341463,0.9550706033376124,0.872093023255814,0.9615384615384616,0.9146341463414634,0.1098730892485303,7650,1639,1640,0.9945088468578401,0.9695268197452821,0.9358974358974359,0.948051948051948,0.9419354838709677,0.08656120677889866
cnn,acc_gyro,76866,0.001961434245458804,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed211/cnn_acc_gyro/best.pt,211,128,64,random,0.9957317073170732,0.9765862891103809,0.9493670886075949,0.9615384615384616,0.9554140127388535,0.044069583247867895,7650,1639,1640,0.9987797437461867,0.9931863910737151,0.987012987012987,0.987012987012987,0.987012987012987,0.07366550275156714
gru,acc,38466,0.002499640322639607,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed211/gru_acc/best.pt,211,128,64,random,0.9890243902439024,0.9422336328626444,0.8488372093023255,0.9358974358974359,0.8902439024390244,0.0960983725946124,7650,1639,1640,0.9932885906040269,0.9627550019109004,0.9230769230769231,0.935064935064935,0.9290322580645162,0.10652975287331612
gru,gyro,38466,0.0025009923410834745,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed211/gru_gyro/best.pt,211,128,64,random,0.9932926829268293,0.9636465493441668,0.9135802469135802,0.9487179487179487,0.9308176100628931,0.16837311367754165,7650,1639,1640,0.9957291031116534,0.976004183006536,0.9605263157894737,0.948051948051948,0.954248366013072,0.11070665480515592
gru,acc_gyro,39042,0.0024686062533874065,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed211/gru_acc_gyro/best.pt,211,128,64,random,0.9829268292682927,0.9111668252973357,0.7840909090909091,0.8846153846153846,0.8313253012048193,0.23176515087621605,7650,1639,1640,0.9835265405735204,0.9118179807387659,0.7976190476190477,0.8701298701298701,0.8322981366459627,0.2838789821611496
tcn,acc,220610,0.005758410625276156,/home/jdone/ai/mamba/mamba3/outputs_user/imu_transition/main_5seed/seed211/tcn_acc/best.pt,211,128,64,random,0.9945121951219512,0.9695277419354839,0.948051948051948,0.9358974358974359,0.9419354838709677,0.08018058894128288,7650,1639,1640,0.9981696156192801,0.9897160784313725,0.9868421052631579,0.974025974025974,0.9803921568627451,0.100362599279011
